Name,Clone,Company,Catalog Number,,,
CD11b,M1/70,Biolegend,101202,,,
CD11c,Bu15,Biolegend,337202,,,
CD123,6H6,Biolegend,306027,,,
CD14,M5E2,Biolegend,301843,,,
CD141,M80,Biolegend,344102,,,
CD16,3G8,Biolegend,302051,,,
CD19,HIB19,Biolegend,302202,,,
CD1c,L161,Biolegend,331502,,,
CD206,206,Biolegend,321112,,,
CD24,ML5,Biolegend,311102,,,
CD27,REA499,Miltenyi,N/A (Custom Order),,,
CD3,UCHT1,Biolegend,300402,,,
CD33,WM53,Biolegend,303410,,,
CD38,REA572,Miltenyi,N/A (Custom Order),,,
CD4,RPA-T4,Biolegend,300502,,,
CD56,REA196,Miltenyi,N/A (Custom Order),,,
CD62L,DREG-56,Biolegend,304812,,,
CD64,10.1,Biolegend,305002,,,
CD66b,G10F5,Biolegend,305102,,,
CD8,RPA-T8,Biolegend,301002,,,
HLADR,L243,Biolegend,307651,,,
