Antigen,Vendor,Cat_Number
TotalSeq™-A0062 anti-human CD10 Antibody,Biolegend,Cat #312231; RRID: AB_2734286
TotalSeq™-A0145 anti-human CD103 (Integrin αE) Antibody,Biolegend,Cat #350231; RRID: AB_2800933
TotalSeq™-A0068 anti-human CD105 Antibody,Biolegend,Cat #323221; RRID: AB_2750350
TotalSeq™-A0398 anti-human CD115 (CSF-1R) Antibody,Biolegend,Cat #347325; RRID: AB_2783237
TotalSeq™-A0061 anti-human CD117 (c-kit) Antibody,Biolegend,Cat #313241; RRID: AB_2734287
TotalSeq™-A0161 anti-human CD11b Antibody,Biolegend,Cat #301353; RRID: AB_2734249
TotalSeq™-A0053 anti-human CD11c Antibody,Biolegend,Cat #371519; RRID: AB_2749971
TotalSeq™-A0064 anti-human CD123 Antibody,Biolegend,Cat #306037; RRID: AB_2749977
TotalSeq™-A0390 anti-human CD127 (IL-7Rα) Antibody,Biolegend,Cat #351352; RRID: AB_2734366
TotalSeq™-A0158 anti-human CD134 (OX40) Antibody,Biolegend,Cat #350033; RRID: AB_2783245
TotalSeq™-A0055 anti-human CD138 (Syndecan-1) Antibody,Biolegend,Cat #356533; RRID: AB_2749973
TotalSeq™-A0051 anti-human CD14 Antibody,Biolegend,Cat #367131; RRID: AB_2734412
TotalSeq™-A0128 anti-human CD140a (PDGFRα) Antibody,Biolegend,Cat #323509; RRID: AB_2750354
TotalSeq™-A0129 anti-human CD140b (PDGFRβ) Antibody,Biolegend,Cat #323609; RRID: AB_2783192
TotalSeq™-A0163 anti-human CD141 (Thrombomodulin) Antibody,Biolegend,Cat #344121; RRID: AB_2783229
TotalSeq™-A0134 anti-human CD146 Antibody,Biolegend,Cat #361017; RRID: AB_2750355
TotalSeq™-A0151 anti-human CD152 (CTLA-4) Antibody,Biolegend,Cat #369619; RRID: AB_2734423
TotalSeq™-A0083 anti-human CD16 Antibody,Biolegend,Cat #302061; RRID: AB_2734255
TotalSeq™-A0149 anti-human CD161 Antibody,Biolegend,Cat #339945; RRID: AB_2749998
TotalSeq™-A0358 anti-human CD163 Antibody,Biolegend,Cat #333635; RRID: AB_2750343
"TotalSeq™-A0206 anti-human CD169 (Sialoadhesin, Siglec-1) Antibody",Biolegend,Cat #346011; RRID: AB_2750011
TotalSeq™-A0140 anti-human CD183 (CXCR3) Antibody,Biolegend,Cat #353745; RRID: AB_2749993
TotalSeq™-A0144 anti-human CD185 (CXCR5) Antibody,Biolegend,Cat #356937; RRID: AB_2750356
TotalSeq™-A0050 anti-human CD19 Antibody,Biolegend,Cat #302259; RRID: AB_2734256
TotalSeq™-A0071 anti-human CD194 (CCR4) Antibody,Biolegend,Cat #359423; RRID: AB_2749979
TotalSeq™-A0141 anti-human CD195 (CCR5) Antibody,Biolegend,Cat #359135; RRID: AB_2749994
TotalSeq™-A0143 anti-human CD196 (CCR6) Antibody,Biolegend,Cat #353437; RRID: AB_2750534
TotalSeq™-A0148 anti-human CD197 (CCR7) Antibody,Biolegend,Cat #353247; RRID: AB_2750357
TotalSeq™-A0160 anti-human CD1c Antibody,Biolegend,Cat #331539; RRID: AB_2734326
TotalSeq™-A0100 anti-human CD20 Antibody,Biolegend,Cat #302359; RRID: AB_2749984
TotalSeq™-A0205 anti-human CD206 (MMR) Antibody,Biolegend,Cat #321143; RRID: AB_2750010
TotalSeq™-A0152 anti-human CD223 (LAG-3) Antibody,Biolegend,Cat #369333; RRID: AB_2749999
TotalSeq™-A0368 anti-human CD226 (DNAM-1) Antibody,Biolegend,Cat #338335; RRID: AB_2783220
TotalSeq™-A0180 anti-human CD24 Antibody,Biolegend,Cat #311137; RRID: AB_2750374
TotalSeq™-A0189 anti-human CD244 (2B4) Antibody,Biolegend,Cat #329527; RRID: AB_2750007
TotalSeq™-A0085 anti-human CD25 Antibody,Biolegend,Cat #302643; RRID: AB_2734258
"TotalSeq™-A0356 anti-human CD254 (TRANCE, RANKL) Antibody",Biolegend,Cat #347509; RRID: AB_2750377
TotalSeq™-A0396 anti-human CD26 Antibody,Biolegend,Cat #302720; RRID: AB_2734261
TotalSeq™-A0154 anti-human CD27 Antibody,Biolegend,Cat #302847; RRID: AB_2750000
TotalSeq™-C0170 anti-human CD272 (BTLA) Antibody,Biolegend,Cat #344527; RRID: AB_2800919
"TotalSeq™-A0008 anti-human CD273 (B7-DC, PD-L2) Antibody",Biolegend,Cat #329619; RRID: AB_2734321
"TotalSeq™-A0007 anti-human CD274 (B7-H1, PD-L1) Antibody",Biolegend,Cat #329743; RRID: AB_2749959
TotalSeq™-A0171 anti-human/mouse/rat CD278 (ICOS) Antibody,Biolegend,Cat #313555; RRID: AB_2800824
TotalSeq™-A0088 anti-human CD279 (PD-1) Antibody,Biolegend,Cat #329955; RRID: AB_2734322
TotalSeq™-A0386 anti-human CD28 Antibody,Biolegend,Cat #302955; RRID: AB_2783159
TotalSeq™-A0369 anti-human CD29 Antibody,Biolegend,Cat #303027; RRID: AB_2783160
TotalSeq™-A0034 anti-human CD3 Antibody,Biolegend,Cat #300475; RRID: AB_2734246
TotalSeq™-A0124 anti-human CD31 Antibody,Biolegend,Cat #303137; RRID: AB_2750360
Anti-human CD326 (clone 9C4),Biolegend,Cat#:324202; RRID: AB_756076
Anti-human CD45 (clone HI30),Fluidigm,Cat#:3089003B; RRID: AB_2661851
Anti-human CD19 (clone HIB19),Biolegend,Cat#:302202; RRID: AB_314232
Anti-human CD38 (clone HB-7),Biolegend,Cat#:356602; RRID: AB_2561794
Anti-human CD45RA (clone HI100),Biolegend,Cat#:304102; RRID: AB_314406
Anti-human CD123 (clone 6H6),Biolegend,Cat#:306002; RRID: AB_314576
Anti-human CD16 (clone 3G8),Biolegend,Cat#:302014; RRID: AB_314202
Anti-human CD56 (clone B159),BD Biosciences,Cat#:555513; RRID: AB_395903
Anti-human CD3 (clone UCHT1),Biolegend,Cat#:300402; RRID: AB_314056
Anti-human CD4 (clone RPA-T4),Biolegend,Cat#:300502; RRID: AB_314070
