Reagent type (species) or resource,Designation,Source or reference,Identifiers,Additional information,,
Antibody,Anti-Human CD1c(Mouse monoclonal),BioLegend,"Cat# 331547, Clone L161,RRID:AB_2800871","10× Genomics FB Ab pool:
0.25 µg (1:180)",,
Antibody,Anti-Human CD163(Mouse monoclonal),BioLegend,"Cat# 333637, Clone GHI/61, RRID:AB_2810510","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD141(Mouse monoclonal),BioLegend,"Cat# 344125, Clone M80, RRID:AB_2810541","10× Genomics
FB Ab pool:
0.5 µg (1:90)",,
Antibody,Anti-Human CD11a(Mouse monoclonal),BioLegend,"Cat# 350617, Clone TS2/4, RRID:AB_2800935","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD197(Mouse monoclonal),BioLegend,"Cat# 353251, Clone G043H7, RRID:AB_2800943","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD14(Mouse monoclonal),BioLegend,"Cat# 301859, Clone M5E2, RRID:AB_2800736","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD16(Mouse monoclonal),BioLegend,"Cat# 302065, Clone 3G8, RRID:AB_2800738","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD19(Mouse monoclonal),BioLegend,"Cat# 302265, Clone HIB19, RRID:AB_2800741","10× Genomics FB
Ab pool: 0.5 µg (1:90)",,
Antibody,Anti-Human CD45RO (Mouse monoclonal),BioLegend,"Cat# 304259, Clone UCHL1, RRID:AB_2800766","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD2(Mouse monoclonal),BioLegend,"Cat# 309231, Clone TS1/8, RRID:AB_2810464","10× Genomics
FB Ab pool:
0.125 µg (1:360)",,
Antibody,Anti-Human CD138(Mouse monoclonal),BioLegend,"Cat# 356539, Clone MI15, RRID:AB_2810567","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD303(Mouse monoclonal),BioLegend,"Cat# 354241, Clone 201 A, RRID:AB_2814295","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD56(Mouse monoclonal),BioLegend,"Cat# 362559, Clone 5.1h11, RRID:AB_2801002","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD4(Mouse monoclonal),BioLegend,"Cat# 300567, Clone RPA-T4, RRID:AB_2800725","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD3(Mouse monoclonal),BioLegend,"Cat# 300479, Clone UCHT1, RRID:AB_2800723","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD45RA (Mouse monoclonal),BioLegend,"Cat# 304163, Clone HI100, RRID:AB_2800764","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD39(Mouse monoclonal),BioLegend,"Cat# 328237, Clone A1, RRID:AB_2800853","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD279(Mouse monoclonal),BioLegend,"Cat# 329963, Clone EH12.2H7, RRID:AB_2800862","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD8(Mouse monoclonal),BioLegend,"Cat# 344753, Clone SK1, RRID:AB_2800922","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human CD27(Mouse monoclonal),BioLegend,"Cat# 302853, Clone O323, RRID:AB_2800747","10× Genomics
FB Ab pool:
0.25 µg (1:180)",,
Antibody,Anti-Human CD20(Mouse monoclonal),BioLegend,"Cat# 302363, Clone 2H7, RRID:AB_2800743","10× Genomics FB
Ab pool: 1 µg (1:45)",,
Antibody,Anti-Human HLA-A/B/C (Mouse monoclonal),BioLegend,"Cat# 311449, Clone W6/32, RRID:AB_2800816","10× Genomics FB
Ab pool: 1 µg (1:45)",,
