Antibody,HGNC_SYMBOL,Clone,Oligo_ID,Panel,Vendor,Cat_Number,RRID
B7-H4,VTCN1,MIH43,AHS0108,197 ab,BD Biosciences,940100,AB_2875991
c-Met,MET,3D6,AHS0132,197 ab,BD Biosciences,940222,AB_2876103
CD10,MME,HI10a,AHS0051,197 ab,BD Biosciences,940045,AB_2875936
CD101,CD101,V7.1,AHS0188,197 ab,BD Biosciences,940269,AB_2876148
CD102,ICAM2,CBR-IC2/2,AHS0155,197 ab,BD Biosciences,940241,AB_2876122
CD103,ITGAE,Ber-ACT8,AHS0001,197 ab,BD Biosciences,940067,AB_2875958
CD104,ITGB4,439-9B,AHS0141,197 ab,BD Biosciences,940228,AB_2876109
CD106,VCAM1,51-10C9,AHS0251,197 ab,BD Biosciences,940375,AB_2876243
CD110,MPL,1.6.1,AHS0225,197 ab,BD Biosciences,940302,AB_2876179
CD114,CSF3R,LMM741,AHS0272,197 ab,BD Biosciences,940393,AB_2876257
CD115,CSF1R,9-4D2-1E4,AHS0136,197 ab,BD Biosciences,940225,AB_2876106
CD116,CSF2RA,hGMCSFR-M1,AHS0238,197 ab,BD Biosciences,940311,AB_2876186
CD117,KIT,YB5.B8,AHS0064,197 ab,BD Biosciences,940051,AB_2875942
CD119,IFNGR1,GIR-208,AHS0169,197 ab,BD Biosciences,940253,AB_2876134
CD11a,ITGAL,HI111,AHS0081,197 ab,BD Biosciences,940077,AB_2875968
CD11b,ITGAM,M1/70,AHS0005,197 ab,BD Biosciences,940008,AB_2875899
CD11c,ITGAX,B-ly6,AHS0056,197 ab,BD Biosciences,940024,AB_2875915
CD122,IL2RB,Mik-β3,AHS0146,197 ab,BD Biosciences,940232,AB_2876113
CD123,IL3RA,7G3,AHS0020,197 ab,BD Biosciences,940020,AB_2875911
CD124,IL4R,hIL4R-M57,AHS0098,197 ab,BD Biosciences,940092,AB_2875983
CD126,IL6R,M5,AHS0096,197 ab,BD Biosciences,940090,AB_2875981
CD127,IL7R,HIL-7R-M21,AHS0028,197 ab,BD Biosciences,940012,AB_2875903
CD13,ANPEP,WM15,AHS0050,197 ab,BD Biosciences,940044,AB_2875935
CD131,CSF2RB,3D7,AHS0263,197 ab,BD Biosciences,940385,AB_2876251
CD132,IL2RG,TUGh4,AHS0144,197 ab,BD Biosciences,940230,AB_2876111
CD133,PROM,W6B3C1,AHS0103,197 ab,BD Biosciences,940095,AB_2875986
CD134,TNFRSF4,ACT35,AHS0013,197 ab,BD Biosciences,940060,AB_2875951
CD134,TNFRSF4,L106,AHS0271,197 ab,BD Biosciences,940392,AB_2876256
CD137,TNFRSF9,4B4-1,AHS0003,197 ab,BD Biosciences,940055,AB_2875946
CD14,CD14,MφP9,AHS0037,197 ab,BD Biosciences,940005,AB_2875896
CD140a,PDGFRA,αR1,AHS0160,197 ab,BD Biosciences,940246,AB_2876127
CD140b,PDGFRB,28D4,AHS0151,197 ab,BD Biosciences,940237,AB_2876118
CD141,THBD,1A4,AHS0083,197 ab,BD Biosciences,940079,AB_2875970
CD142,F3,HTF-1,AHS0202,197 ab,BD Biosciences,940280,AB_2876157
CD144,CDH5,55-7H1,AHS0253,197 ab,BD Biosciences,940376,AB_2876244
CD146,MCAM,P1H12,AHS0127,197 ab,BD Biosciences,940218,AB_2876100
CD15,FUT4,W6D3,AHS0196,197 ab,BD Biosciences,940274,AB_2876152
CD152,CTLA4,BNI3,AHS0017,197 ab,BD Biosciences,940034,AB_2875925
CD154,CD40LG,TRAP1,AHS0077,197 ab,BD Biosciences,940053,AB_2875944
CD155,PVR,TX24,AHS0111,197 ab,BD Biosciences,940102,AB_2875993
CD158e1,KIR3DL1,DX9,AHS0211,197 ab,BD Biosciences,940289,AB_2876166
CD16,FCGR3A,3G8,AHS0053,197 ab,BD Biosciences,940006,AB_2875897
CD161,KLRB1,DX12,AHS0002,197 ab,BD Biosciences,940070,AB_2875961
CD162,SELPLG,KPL-1,AHS0139,197 ab,BD Biosciences,940227,AB_2876108
CD163,CD163,GHI/61,AHS0062,197 ab,BD Biosciences,940058,AB_2875949
CD166,ALCAM,3A6,AHS0260,197 ab,BD Biosciences,940382,AB_2876250
CD169,SIGLEC1,7-239,AHS0133,197 ab,BD Biosciences,940223,AB_2876104
CD16b,FCGR3B,CLB-gran11.5,AHS0268,197 ab,BD Biosciences,940389,AB_2876254
CD178,FASLG,NOK-1,AHS0095,197 ab,BD Biosciences,940089,AB_2875980
CD18,ITGB2,6.7,AHS0091,197 ab,BD Biosciences,940086,AB_2875977
CD181,CXCR1,5A12,AHS0164,197 ab,BD Biosciences,940462,AB_2876313
CD183,CXCR3,1C6/CXCR3,AHS0031,197 ab,BD Biosciences,940030,AB_2875921
CD184,CXCR4,12G5,AHS0060,197 ab,BD Biosciences,940056,AB_2875947
CD185,CXCR5,RF8B2,AHS0039,197 ab,BD Biosciences,940042,AB_2875933
CD19,CD19,SJ25C1,AHS0030,197 ab,BD Biosciences,940004,AB_2875895
CD192,CCR2,LS132.1D9,AHS0208,197 ab,BD Biosciences,940286,AB_2876163
CD193,CCR3,5E8,AHS0159,197 ab,BD Biosciences,940245,AB_2876126
CD194,CCR4,1G1,AHS0038,197 ab,BD Biosciences,940047,AB_2875938
CD195,CCR5,2D7/CCR5,AHS0070,197 ab,BD Biosciences,940050,AB_2875941
CD196,CCR6,11A9,AHS0034,197 ab,BD Biosciences,940033,AB_2875924
CD197,CCR7,3D12,AHS0007,197 ab,BD Biosciences,940014,AB_2875905
CD1a,CD1A,HI149,AHS0067,197 ab,BD Biosciences,940063,AB_2875954
CD1c,CD1C,F10/21A3,AHS0088,197 ab,BD Biosciences,940083,AB_2875974
