Antibody,Clone,Subexperiment,Vendor,Study
 CD103,Ber-ACT8,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD28,CD28.2,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD27,M-T271,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD197 (CCR7),3D12,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD161,DX12,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD69,FN50,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD196 (CCR6),11A9,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD152 (CTLA-4),BNI3,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD45RO,UCHL1,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD14,MpP9,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD194 (CCR4),1G1,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD185 (CXCR5),RF8B2,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD25,M-A251,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD8,RPA-T8,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD127,HIL-7R-M21,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD45RA,HI100,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD19,SJ25C1,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
CD10,HI10a,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD11b (Mac-1),M1/70,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD11c,B-ly6,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD13,WM15,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD16,3G8,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD20,2H7,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD235a/b,GA-R2,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD24,ML5,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD275 (B7-H2),2D3/B7-H2,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
 CD33,WM53,Pre-sorted CD4+ T-cell,BD Bioscience,Trzupek_2020
