Antigen,Clone,Cat_Number,Vendor
CD11b,M1/70,940008,BD Biosciences
CD11c,B-ly6,940024,BD Biosciences
CD126 (IL6R),M5,940090,BD Biosciences
CD127 (IL7R),HIL-7R-M21,940012,BD Biosciences
CD16,3G8,940006,BD Biosciences
CD161 (KLRB1),DX12,940070,BD Biosciences
CD185 (CXCR5),RF8B2,940042,BD Biosciences
CD194 (CCR4),1G1,940047,BD Biosciences
CD195 (CCR5),2D7,940050,BD Biosciences
CD196 (CCR6),11A9,940033,BD Biosciences
CD197 (CCR7),3D12,940014,BD Biosciences
CD226,DX11,940075,BD Biosciences
CD25 (IL2RA),2A3,940009,BD Biosciences
CD26 (DPP4),M-A261,940101,BD Biosciences
CD27,M-T271,940018,BD Biosciences
CD275 (B7-H2),2D3/B7-H2,940091,BD Biosciences
CD28,CD28.2,940017,BD Biosciences
CD3,SK7,940000,BD Biosciences
CD335 (NKp46),9-E2,940064,BD Biosciences
CD38,HIT2,940013,BD Biosciences
CD39,TU66,940073,BD Biosciences
CD4,SK3,940001,BD Biosciences
CD40L (CD154),TRAP1,940053,BD Biosciences
CD45RA,HI100,940011,BD Biosciences
CD45RO,UCHL1,940022,BD Biosciences
CD49a,SR84,940094,BD Biosciences
CD49d,9F10,940059,BD Biosciences
CD5,UCHT2,940038,BD Biosciences
CD56 (NCAM-1),NCAM16.2,940007,BD Biosciences
CD62L,DREG-56,940041,BD Biosciences
CD69,FN50,940019,BD Biosciences
CD7,M-T701,940029,BD Biosciences
CD8,RPA-T8,940003,BD Biosciences
CD80,L307.4,940036,BD Biosciences
CD86,FUN1,940025,BD Biosciences
CD94 (KLRD1),HP-3D9,940081,BD Biosciences
CD95 (FAS),DX2,940037,BD Biosciences
CD98,UM7F8,940093,BD Biosciences
CR2 (CD21),B-ly4,940048,BD Biosciences
CXCR3 (CD183),1C6,940030,BD Biosciences
CXCR4 (CD184),12G5,940056,BD Biosciences
FASL (CD178),NOK-1,940089,BD Biosciences
GITR (CD357),V27-580,940096,BD Biosciences
HLA-DR,G46-6,940010,BD Biosciences
ICOS (CD278),DX29,940043,BD Biosciences
LAG-3,T47-530,940080,BD Biosciences
PD-1 (CD279),EH12.1,940015,BD Biosciences
PDL1 (CD274),MIH1,940035,BD Biosciences
PDL2 (CD273),MIH18,940071,BD Biosciences
TIM3 (CD366),7D3,940066,BD Biosciences
TNFRSF9 (CD137),4B4-1,940055,BD Biosciences
