Antigen,Gene,Vendor,Cat_Number
CD34,CD34,BioLegend,343537
CD38,CD38,BioLegend,303541
CD90,THY1,BioLegend,328135
CD45,PTPRC,BioLegend,304064
CD49f,ITGA6,BioLegend,313633
CD133,PROM1,BioLegend,372815
CD201,EPCR/PROCR,BioLegend,351907
CD164,CD164,BioLegend,324809
CD105,ENG,BioLegend,323221
CD144,CDH5/VECAD,BioLegend,348517
CD202b,TEK/TIE2,BioLegend,334213
VEGFR3,FLT4,BioLegend,356207
CLEC1B,CLEC1B,BioLegend,372009
CD31,PECAM1,BioLegend,303137
CD184,CXCR4,BioLegend,306531
"HLA-DR,DP,DQ",HLA class II genes,BioLegend,307659
pan-HLA class I,HLA class I genes,BioLegend,311445
CD141,THBD,BioLegend,344121
CD235a,GYPA,BioLegend,349117
