Name,Accession,Notes,AccessionFull,,
Mair_2020,GSE135325,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135325,,
Kotliarov_2020,,,https://doi.org/10.35092/yhjc.c.4753772,,
10x29May2019,10x29May2019,10X_5K_PBMC,https://support.10xgenomics.com/single-cell-gene-expression/datasets/3.0.2/5k_pbmc_protein_v3,,
10x19Nov2018,10x19Nov2018,10X_10K_PMBC,https://support.10xgenomics.com/single-cell-gene-expression/datasets/3.0.0/pbmc_10k_protein_v3,,
10x19Nov2018-2,10x19Nov2018-2,10X_PBMC_5prime,"https://www.10xgenomics.com/resources/datasets/pbm-cs-of-a-healthy-donor-5-gene-expression-and-cell-surface-protein-1-standard-3-0-0
",,
10x24July2019,10x24July2019,10x_PBMC_5prime_prot,https://www.10xgenomics.com/resources/datasets/human-pbmc-5-cell-surface-protein-only-next-gem-v-1-1-1-1-standard-3-1-0,,
10x24July2019-2,10x24July2019-2,10X_PMBC_prot,https://www.10xgenomics.com/resources/datasets/human-pbmc-5-cell-surface-protein-only-v-1-1-1-standard-3-1-0,,
10x7July2020,10x7July2020,10X_PBMC_tx,https://www.10xgenomics.com/resources/datasets/pbm-cs-from-a-healthy-donor-whole-transcriptome-analysis-1-1-standard-4-0-0,,
Stoeckius_2018,GSE108313,Cell,hashing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108313,
Mimitou_2019,GSE126310,ECCITE-Seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126310,,
Pont_2020,GSE144434,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144434,,
Nathan_2021,GSE158769,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158769,,
Wang_2020_PBMC,GSE148665,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148665,,
Arunachalam_2020,GSE155673,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155673,,
Su_2020,E-MTAB-9357,,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9357,,
Lawlor_2021,PRJEB40448,,https://www.ebi.ac.uk/eva/?eva-study=PRJEB40448,,
Stephenson_2021,E-MTAB-10026,,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-10026,,
Hao_2021,Fredhutch2020,,https://atlas.fredhutch.org/nygc/multimodal-pbmc,,
Shangguan_2021,,,dx.doi.org/10.6084/m9.figshare.c.5416197,,
Liu_2021,GSE161918,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161918,,
Mimitou_2021,GSE156478,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156478,,
Kaufmann_2021,GSE144744,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144744,,
Cadot_2020,GSE152469,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152469,,
Buus_2021,,,https://doi.org/10.6084/m9.figshare.c.5018987,,
Granja_2019,GSE139369,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139369,,
Trzupek_2020,GSE150060,,,10.1186/s13073-020-00756-z,
Pei_2020,GSE143363,,,10.1158/2159-8290.CD-19-0710,
Fernandez_2019,,,,10.1038/s41591-019-0590-4,
Qi_2020,,,,10.1101/2021.06.12.448210,
Stuart_2019,GSE128639,,,10.1016/j.cell.2019.05.031,
Witkowski_2020,GSE134759,,,10.1016/j.ccell.2020.04.015,
Wu_2021_a,,,https://singlecell.broadinstitute.org/single_cell/study/SCP1415/cryopreservation-of-human-cancers-conserves-tumour-heterogeneity-for-single-cell-multi-omics-analysis,10.1186/s13073-021-00885-z,
Wu_2021_b,,,,10.1038/s41588-021-00911-1,
Qian_2020,,,,10.1038/s41422-020-0355-0,
Fidanza_2020,E-MTAB-9295,,,10.1182/blood.2020006229,
Krebs_2020,,,Data on request,10.1126/sciimmunol.aba4163,
PomboAntunes_2021,GSE163120,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163120,10.1038/s41593-020-00789-y,
Stoeckius_2017,GSE100866,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100866,,
